,team,player,goals
0,Tottenham Hotspur,Christian Dannemann Eriksen,12
1,Tottenham Hotspur,Bamidele Alli,8
2,Tottenham Hotspur,Erik Lamela,8
3,Southampton,Dušan Tadić,11
4,Southampton,Graziano Pellè,6
5,Southampton,Sadio Mané,6
6,Southampton,James Ward-Prowse,4
7,Southampton,Shane Long,4
8,Manchester United,Juan Manuel Mata García,5
9,Manchester United,Wayne Mark Rooney,5
10,Manchester City,David Josué Jiménez Silva,10
11,Manchester City,Kevin De Bruyne,9
12,Manchester City,Jesús Navas González,7
13,Leicester City,Riyad Mahrez,10
14,Leicester City,Danny Drinkwater,7
15,Leicester City,Marc Albrighton,7
16,Leicester City,Jamie Vardy,5
17,Leicester City,Christian Fuchs,4
18,Arsenal,Mesut Özil,19
19,Arsenal,Olivier Giroud,6
20,Arsenal,Héctor Bellerín Moruno,5
21,Arsenal,Aaron Ramsey,4
22,Arsenal,Alexis Alejandro Sánchez Sánchez,4
