,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,match_id,possession_team_id,team_id,player_id,under_pressure,related_events,off_camera
0,7eb1df6c-3fd7-46eb-a263-53b8c778f59a,1812,2,00:08:25.737,53,25,Error,105,West Bromwich Albion,Regular Play,Sunderland,Costel Fane Pantilimon,Goalkeeper,"[6.8, 39.7]",0.0,3754245,27,41,6871,,,
1,1da7957f-49e3-446a-ba81-709fc1cbc6ae,3464,2,00:38:14.608,83,14,Error,161,Arsenal,Regular Play,Aston Villa,Carlos Alberto Sánchez Moreno,Center Defensive Midfield,"[37.7, 46.3]",0.0,3754041,1,59,5685,,,
2,fe401556-cf87-437a-84db-1c64f6b65449,3768,2,00:46:54.230,91,54,Error,179,Arsenal,Regular Play,Aston Villa,Mark Bunn,Goalkeeper,"[3.9, 38.1]",0.0,3754041,1,59,18672,,,
3,3ede5940-253a-4519-bba3-eb5cb8727e91,3296,2,00:37:35.068,82,35,Error,167,AFC Bournemouth,From Throw In,AFC Bournemouth,Simon Francis,Right Center Back,"[47.1, 68.2]",0.0,3754043,28,28,3608,,,
4,d2d4c446-4bd6-4154-afe3-1f64885cc8f4,3907,2,00:46:35.006,91,35,Error,205,Liverpool,From Free Kick,Chelsea,Asmir Begović,Goalkeeper,"[3.8, 39.2]",0.0,3754055,24,33,3339,,,
5,4c3cada4-99ee-4b9a-a232-c8a52264b398,2620,2,00:32:39.636,77,39,Error,152,Sunderland,From Corner,Liverpool,Roberto Firmino Barbosa de Oliveira,Center Attacking Midfield,"[5.0, 51.9]",0.0,3754226,41,24,3535,,,
6,27b1cc2d-5290-401c-82c2-dbb2b9596a89,287,1,00:07:15.220,7,15,Error,17,Stoke City,Regular Play,Stoke City,Jack Butland,Goalkeeper,"[13.0, 36.9]",0.0,3754014,30,30,3537,True,['b180dbfc-f180-4e56-b8a6-febbeca120b5'],
7,3db20655-2aae-44a6-8582-4170be8d934c,649,1,00:18:43.825,18,43,Error,37,Stoke City,From Throw In,Manchester United,Memphis Depay,Left Wing,"[12.9, 18.1]",0.0,3754014,30,39,2988,,,
8,3f0dc876-40be-4843-a27b-37aa064cb3a6,841,1,00:19:32.104,19,32,Error,48,Stoke City,From Keeper,Leicester City,Wes Morgan,Left Center Back,"[29.8, 47.4]",0.0,3754146,30,22,3813,True,['19418da7-833c-48b6-a358-26800a006f92'],
9,cc2b786f-9218-4c74-b4ca-0e59eeadde3d,1536,1,00:40:12.278,40,12,Error,80,Leicester City,From Throw In,Leicester City,Gökhan İnler,Left Defensive Midfield,"[56.7, 29.9]",0.0,3754146,22,22,20230,True,['628bd0ae-b47a-41be-8fb7-03337f49cf05'],
10,87da2e77-a987-45b6-bd17-2b34ac55ded8,1910,1,00:44:43.252,44,43,Error,88,AFC Bournemouth,Regular Play,AFC Bournemouth,Artur Boruc,Goalkeeper,"[16.1, 34.4]",0.0,3754278,28,28,20074,,,
11,9a28c352-d77e-479b-84f5-7e302336600e,2702,2,00:34:40.518,79,40,Error,172,Crystal Palace,From Throw In,Crystal Palace,Scott Dann,Right Center Back,"[26.4, 42.7]",0.0,3753979,31,31,3407,,,
12,b67c444f-bf8c-4eac-b5c8-0e45fb6c1d38,2723,2,00:22:46.005,67,46,Error,125,Arsenal,From Free Kick,Swansea City,Łukasz Fabiański,Goalkeeper,"[6.4, 35.3]",0.0,3753983,1,26,3262,,,
13,329aed6c-bf0d-4b45-a881-467d83ce3baf,1045,1,00:27:52.887,27,52,Error,54,Stoke City,Regular Play,West Bromwich Albion,Gareth McAuley,Right Center Back,"[19.5, 58.9]",0.0,3754007,30,27,3596,,,
14,a0934dbe-8686-414f-9637-5f49e3f95e14,2001,2,00:04:31.157,49,31,Error,105,Manchester United,From Counter,Southampton,Maya Yoshida,Right Back,"[37.0, 74.4]",0.0,3754011,39,25,3300,,,
15,2d2b4eba-305e-4f7b-83fe-10b403c7f038,273,1,00:06:21.220,6,21,Error,21,Newcastle United,From Goal Kick,Watford,Sebastian Prödl,Right Center Back,"[8.9, 38.5]",0.0,3754010,37,23,3309,,,
16,b91d69f4-a171-45ef-8291-6fcc92941c05,1335,1,00:34:36.743,34,36,Error,66,Chelsea,From Free Kick,Sunderland,John O''Shea,Right Center Back,"[9.6, 41.5]",0.0,3754025,33,41,16890,,,
17,54942e89-39dd-47ce-bb39-6ca969abb360,973,1,00:24:42.137,24,42,Error,49,Stoke City,From Corner,Everton,Ross Barkley,Right Center Midfield,"[4.1, 36.3]",0.0,3754056,30,29,4275,,,
18,32d8d2fe-0b06-4425-a642-f1e49ada090f,3268,2,00:43:48.235,88,48,Error,170,Chelsea,From Free Kick,Crystal Palace,James McArthur,Left Defensive Midfield,"[7.3, 39.8]",0.0,3754083,33,31,3464,,,
19,ce2ec6ba-6be0-48d1-8164-69ab389b5608,393,1,00:08:31.173,8,31,Error,15,Manchester City,From Throw In,West Ham United,Aaron Cresswell,Left Back,"[24.4, 38.9]",0.0,3754077,36,40,3062,,,
20,1b66ec18-f15b-4a92-b7b5-9bc3a91b3bb3,108,1,00:02:05.496,2,5,Error,6,Watford,From Corner,Liverpool,Ádám Bogdán,Goalkeeper,"[4.0, 40.7]",0.0,3754051,23,24,9985,,,
21,32d6d2a6-672c-4f3e-b2ae-fd2e9a4fd7df,567,1,00:14:50.164,14,50,Error,37,Watford,Regular Play,Liverpool,Martin Škrtel,Right Center Back,"[13.4, 31.6]",0.0,3754051,23,24,18872,,,
22,0ae28a2c-aecd-4dc5-8f11-2b6ddd5f2dbb,1625,2,00:01:28.521,46,28,Error,106,Liverpool,From Free Kick,Watford,Almen Abdi,Right Midfield,"[10.5, 49.5]",0.0,3754051,24,23,43081,,,
23,e8c4973f-c0e0-4ab7-95ce-b8f9e38b4df5,2931,2,00:25:53.746,70,53,Error,163,Liverpool,Regular Play,Liverpool,Lucas Pezzini Leiva,Right Defensive Midfield,"[57.3, 31.2]",0.0,3754098,24,24,7780,True,['d6c5fb9e-27d7-40b2-b89e-65570b2eedd4'],
24,ae93836d-955b-48c4-a8a4-a7e1946cf605,2976,2,00:39:27.832,84,27,Error,175,Norwich City,Regular Play,Tottenham Hotspur,Kyle Walker,Right Back,"[4.9, 45.6]",0.0,3754057,56,38,3205,,,
25,568dc0c5-e842-4727-a3a4-a439057205e1,678,1,00:20:45.269,20,45,Error,33,Aston Villa,From Goal Kick,Arsenal,Petr Čech,Goalkeeper,"[9.1, 46.4]",0.0,3754117,59,1,3461,,,
26,eafa07bf-c688-4a76-9847-18205c534e2f,2177,2,00:14:18.254,59,18,Error,100,Aston Villa,Regular Play,Arsenal,Aaron Ramsey,Left Center Midfield,"[10.9, 31.7]",0.0,3754117,59,1,3517,,,
27,5bc36365-cbbd-4519-9840-f5217d80b9be,3353,2,00:46:18.756,91,18,Error,161,Arsenal,From Goal Kick,Aston Villa,Joleon Lescott,Left Center Back,"[8.2, 69.2]",0.0,3754117,1,59,20285,,,
28,7f7d4fea-d0fe-4062-a8bc-c91c68638fd1,3118,2,00:43:58.613,88,58,Error,162,Stoke City,From Free Kick,Norwich City,Steven Whittaker,Right Back,"[6.6, 35.8]",0.0,3754104,30,56,11124,,,
29,be58f42c-e2b0-4821-a45a-fd28e89c7fa5,1286,1,00:33:19.570,33,19,Error,78,Chelsea,Regular Play,Aston Villa,Joleon Lescott,Left Center Back,"[35.5, 25.0]",0.0,3754115,33,59,20285,,,
30,bf721153-73c7-47f6-a9f7-07f405e0c556,2579,2,00:34:14.917,79,14,Error,182,Tottenham Hotspur,From Corner,Sunderland,Yann Gérard M''Vila,Right Center Midfield,"[7.9, 45.5]",0.0,3754148,38,41,4429,,,
31,cb2a2ba7-ca2e-4941-a893-14c4542faeb9,1026,1,00:26:59.276,26,59,Error,65,Manchester United,From Free Kick,Watford,Allan Romeo Nyom,Right Back,"[15.4, 32.3]",0.0,3754185,39,23,3991,,,
32,63604b70-fe6b-4374-a8fa-79695433ce19,617,1,00:17:14.345,17,14,Error,35,AFC Bournemouth,From Goal Kick,AFC Bournemouth,Junior Stanislas,Left Midfield,"[43.0, 32.4]",0.0,3754162,28,28,3463,,,
33,3109aad5-4397-4931-99ea-a96c8ab5cbea,2020,2,00:10:57.006,55,57,Error,124,Manchester United,From Goal Kick,AFC Bournemouth,Steve Cook,Left Center Back,"[6.2, 34.5]",0.0,3754162,39,28,3341,,,
34,5be28186-c1cc-415c-8894-8ac04c94365f,2161,2,00:15:13.228,60,13,Error,133,Manchester United,From Corner,AFC Bournemouth,Dan Gosling,Left Center Midfield,"[5.7, 42.8]",0.0,3754162,39,28,3343,,,
35,d45c1030-1cb6-43e9-bc5f-517a86cf55de,3468,2,00:42:00.881,87,0,Error,149,Manchester City,From Throw In,Norwich City,John Ruddy,Goalkeeper,"[10.2, 35.6]",0.0,3754167,36,56,23635,,,
