,id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,off_camera,team,player,position,location,duration,related_events,match_id,foul_committed_advantage,possession_team_id,team_id,player_id,counterpress,foul_committed_offensive,foul_committed_card,foul_committed_type,foul_committed_penalty,under_pressure
0,d3628ab0-f089-41a5-bbeb-3c00887594d5,304,1,00:05:48.686,5,48,Foul Committed,13,AFC Bournemouth,Regular Play,True,Leicester City,Christian Fuchs,Left Back,"[97.8, 3.4]",0.0,['e2b23fc3-7012-4a52-b1f9-05c7fbed63e7'],3754058,True,28,22,3812,,,,,,
1,ae4bc28c-f526-488b-9f16-bd858966a264,384,1,00:08:14.319,8,14,Foul Committed,14,AFC Bournemouth,From Throw In,,Leicester City,Wes Morgan,Right Center Back,"[54.4, 54.0]",0.0,['73aaf4ac-139d-47dc-a0e6-3066d103b06b'],3754058,,28,22,3813,,,,,,
2,5b1aac7c-cf06-4491-b32f-ce082a2736c5,645,1,00:14:40.290,14,40,Foul Committed,24,Leicester City,Regular Play,,AFC Bournemouth,Adam Smith,Right Back,"[38.5, 61.6]",0.0,"['c5ef4748-a6b2-4b07-a9d6-14b5b05bf7a5', 'dc660f42-07f9-422a-ae25-289a553c9376']",3754058,True,22,28,6409,True,,,,,
3,9a779e6b-1094-4bd6-8c9a-da946d831381,852,1,00:19:45.731,19,45,Foul Committed,36,AFC Bournemouth,From Throw In,,Leicester City,José Leonardo Ulloa,Right Center Forward,"[46.3, 16.4]",0.0,"['61b87943-22ed-42fa-b41d-b569ad703eb5', 'a6070580-54da-4ebe-b5eb-d0a2f965be7b']",3754058,True,28,22,3671,,,,,,
4,4bef9249-39b1-424c-8896-58acadb2aff5,897,1,00:20:48.697,20,48,Foul Committed,38,Leicester City,From Throw In,,AFC Bournemouth,Andrew Surman,Center Defensive Midfield,"[56.9, 25.2]",0.0,['c9320f87-df13-473e-9ef9-3922af783665'],3754058,,22,28,3344,,True,,,,
5,44a52b43-ef04-47d5-af06-7367a54294f6,1011,1,00:22:44.740,22,44,Foul Committed,42,AFC Bournemouth,Regular Play,,Leicester City,N''Golo Kanté,Left Defensive Midfield,"[50.8, 53.4]",0.0,"['3e17cbf7-1757-489d-9ec9-8209014f5495', '9e705bc5-77ad-47f6-b5c2-fc59a81610fb', 'f63df15f-c45c-4f49-b93d-9c66beb0bccb']",3754058,True,28,22,3961,,,,,,
6,95e592ad-205c-489c-a524-c7f641463e14,1160,1,00:25:07.011,25,7,Foul Committed,46,Leicester City,Regular Play,,AFC Bournemouth,Andrew Surman,Center Defensive Midfield,"[82.0, 8.3]",0.0,"['4c305e79-c01b-401f-a8e3-f3c644c4512d', 'f60e63a4-4629-4375-8250-87fb75ac2c7c']",3754058,,22,28,3344,True,,,,,
7,37452226-baa8-499a-a49e-9cd6d908c29c,1483,1,00:33:15.643,33,15,Foul Committed,61,Leicester City,Regular Play,,AFC Bournemouth,Harry Arter,Left Center Midfield,"[52.4, 30.3]",0.0,"['3b572bec-0a87-455e-90b9-4b6109e41e02', 'ac819a8c-fce4-4880-bd47-954fecb0d9ae']",3754058,,22,28,3304,,,Yellow Card,,,
8,62fb092b-fbfd-4039-bc0b-2d599e756e2a,1527,1,00:34:32.724,34,32,Foul Committed,65,AFC Bournemouth,Regular Play,,Leicester City,Riyad Mahrez,Right Midfield,"[61.7, 70.7]",0.0,"['4c7aafaf-3cda-4743-9eaf-f549bd6a9c25', 'f1571024-4213-4c88-bf7a-bf5fa400f8f4']",3754058,True,28,22,3814,,,,,,
9,0ea19568-0fde-4803-bc20-0103f99f97e9,1566,1,00:35:17.655,35,17,Foul Committed,67,AFC Bournemouth,Regular Play,,Leicester City,N''Golo Kanté,Left Defensive Midfield,"[26.2, 10.2]",0.0,['0554c891-e806-49f8-b863-b6da12f4b510'],3754058,,28,22,3961,,,,,,
