,team,player,goals
0,Tottenham Hotspur,Harry Kane,25
1,Tottenham Hotspur,Bamidele Alli,10
2,Tottenham Hotspur,Christian Dannemann Eriksen,6
3,Southampton,Graziano Pellè,11
4,Southampton,Sadio Mané,11
5,Southampton,Shane Long,10
6,Southampton,Dušan Tadić,7
7,Manchester United,Anthony Martial,11
8,Manchester United,Wayne Mark Rooney,8
9,Manchester United,Juan Manuel Mata García,6
10,Manchester City,Sergio Leonel Agüero del Castillo,24
11,Manchester City,Kelechi Promise Iheanacho,8
12,Manchester City,Kevin De Bruyne,7
13,Manchester City,Gnégnéri Yaya Touré,6
14,Manchester City,Raheem Sterling,6
15,Leicester City,Jamie Vardy,24
16,Leicester City,Riyad Mahrez,17
17,Leicester City,José Leonardo Ulloa,6
18,Arsenal,Olivier Giroud,16
19,Arsenal,Alexis Alejandro Sánchez Sánchez,13
20,Arsenal,Mesut Özil,6
